ranking_posicion,CUENTA_ID,SED_ID,LLAVE_ID,MACRO_GIRO,tipo_predicho,probabilidad_final,posterior_fraude,recupero_p10_kwh,recupero_p10_soles,prioridad,nivel_sospecha,alta_incertidumbre,datos_insuficientes,sin_servicio,caida_pct,factor_uso,desv_sed,anomaly_score,firma_fraude,señal_vecindario,caida_vs_sed,desacople_sed,cons_anual,ratio_meses_activos,POTENCIA_CONTRATADA,meses_cero_finales,meses_activos,kwhd_promedio
11,SUM_002580,SED_0515,LLAVE_16,POT_ALTA,CLANDESTINA,0.574515625710879,0.002531645567879608,9387.442275350422,6261.423997658732,3597.2859258560197,ALTO,False,False,False,1.0,0.0,0.31484482845406087,0.47725619973229694,0.6069354343704063,0.9638485720018727,0.8618401070110329,1.3398868795216776,273.0,0.3333333333333333,12.0,7,4,0.5763248847926267
12,SUM_009955,SED_1207,LLAVE_16,POT_ALTA,CLANDESTINA,0.5577341062261676,0.002531645567879608,9319.514386211655,6216.1160956031745,3466.939954779331,ALTO,False,False,False,1.0,0.0010282399728154445,1.2259663971206025,0.4101301217934515,0.6069354343704063,0.9359975921343053,0.8655908389015358,0.6535936708531117,482.0,0.75,12.0,3,9,0.35711434378975543
13,SUM_005743,SED_1207,LLAVE_16,POT_ALTA,CLANDESTINA,0.5473620001480713,0.002531645567879608,9488.574270479261,6328.879038409667,3464.187889159118,ALTO,False,False,False,1.0,0.00031188340292754554,-0.36553517006485603,0.37638430954814467,0.6043545636813802,0.33972978396093906,-0.4385014540422472,0.7315158308606801,130.0,0.75,11.1,3,9,0.10594545855267777
14,SUM_011741,SED_0035,LLAVE_16,POT_ALTA,MANIPULACIÓN,0.8968127484946224,0.01895129477444738,5783.921313403998,3857.875516040467,3459.7919448903613,CRÍTICO,False,False,False,1.0,0.15804085335335336,25.483757889621906,0.7257833952776827,0.9538225329002691,0.9316634338840211,0.8473701547727428,0.6807521951693278,16363.0,0.75,11.1,3,9,33.25092693739138
15,SUM_008448,SED_0933,LLAVE_08,POT_ALTA,MANIPULACIÓN,0.9455515956228198,0.034404233520358464,5459.81179702205,3641.6944686137076,3443.410015568488,CRÍTICO,False,False,False,-0.7119728977193671,0.34160879629629626,27.20124556108716,0.7822063824912788,1.0,0.3382783760283593,-0.3266477440415541,0.46224416755514786,35596.0,1.0,12.0,0,12,93.26532673828831
16,SUM_006162,SED_1019,LLAVE_08,POT_ALTA,CLANDESTINA,0.539247274409555,0.002531645567879608,9477.395821429083,6321.423012893199,3408.8101300924945,ALTO,False,False,False,0.5856277533039647,0.0031903375149342893,-0.47398124891179816,0.3439254065940793,0.6043545636813802,0.8438499097050364,0.3653632768887647,0.3715095291916109,313.0,0.8333333333333334,12.0,2,10,0.7982860673574912
17,SUM_004030,SED_1137,LLAVE_08,POT_ALTA,CLANDESTINA,0.5320651762920572,0.002531645567879608,9418.976501972855,6282.457326815895,3342.6767651396253,MODERADO,False,False,False,0.6378669968164131,0.004492395621427879,-0.2841876796152049,0.35701820535314793,0.590414166605027,0.8271419971908233,0.29697122135100945,0.3680997338010599,380.0,0.8333333333333334,11.1,2,10,1.037932827700973
18,SUM_009490,SED_1538,LLAVE_08,POT_ALTA,CLANDESTINA,0.5668419393766198,0.002531645567879608,8806.488964485772,5873.92813931201,3329.588818246519,ALTO,False,False,False,0.9450741063644289,8.993368368368369e-05,0.10857102262042234,0.4480301019859339,0.606445885173515,0.9435221724299376,0.7051053896721398,1.3791945946761042,151.0,0.5833333333333334,11.1,1,7,0.1740076164874552
19,SUM_000944,SED_1942,LLAVE_16,POT_ALTA,MANIPULACIÓN,0.896585395266437,0.01895129477444738,5549.9496957282845,3701.816447050766,3318.9945623828085,CRÍTICO,False,False,False,0.3434412449355499,0.1957602764054377,11.390707899900825,0.7248739823649407,0.9538225329002691,0.8653802421242727,0.47823960669793475,0.38086741475952945,19685.0,0.8333333333333334,11.1,0,10,43.86688834239237
20,SUM_011374,SED_1041,LLAVE_08,POT_ALTA,CLANDESTINA,0.5848877705533666,0.002531645567879608,8366.640626134278,5580.549297631564,3263.995037154881,ALTO,False,False,False,1.0,0.0013310185185185185,-0.6753304416998785,0.5264873911693259,0.6043545636813802,0.9607517891779813,0.8752290984918779,1.1549983727902065,288.0,0.5833333333333334,12.0,5,7,0.7661002304147465
